feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
care_unit_NICU,0.0021491159006423073,0.0025532075623566474,0.008753983179110528,0.0014610327525469281,0.002141665558777747
sodium_min,0.002073546797009429,0.003975328778058952,0.0047531370294055806,0.004324759890192237,0.0034957714698656095
shock_index,0.0019893275511096496,0.002035086814199741,0.005400085846616444,0.0022462029928668253,0.003968201245821346
alt_mean,0.0017175320724912378,0.002427652370668419,0.0028579300458281788,0.005093152543255529,0.003408670980078819
care_unit_SICU,0.00167149468155279,0.0028240380285279804,0.0017712174579074637,0.0018359394124381656,0.005360244358467382
wbc_max,0.0016510390555483454,0.0034721164977128106,0.002945523774362735,0.003824137272067693,0.003238597379060957
symptom_cyanosis,0.001631914752068417,0.006662284409643689,0.0071988252580169184,0.00018630666012345155,0.000197578074876219
anion_gap_first,0.0015603428463061971,0.004067138669154996,0.0025421191797478228,0.0023336066420227104,0.0035822535795842093
glucose_trend,0.0015432321325026055,0.0034726408531857663,0.0029624985596801673,0.0024352016644573937,0.003270273780874384
map_first,0.001433351057660918,0.0010003742498335372,0.003543481579452529,0.0018884643723070852,0.0031702108336430514
symptom_vomiting,0.0012925161397975965,0.003712911143976271,0.002842125135147362,0.0019380542381029684,0.0022476375136574146
anc_mean,0.0012330657779303885,0.0022722161143539613,0.0020065838488799474,0.0027816950779272352,0.0027049589734929208
ph_mean,0.0012035542869890874,0.0026490859669680237,0.0018915039814350477,0.004102619839701306,0.001982720089418089
care_unit_PICU,0.0009480774657275089,0.0008839333896466997,0.00046137529904971563,0.008235626512109758,0.0006445551540961355
spo2_first,0.0009294560060718248,0.0014616110711520682,0.001942588638868628,0.001310788023966183,0.002083880309475708
uric_acid_min,0.00092859641326669,0.0016025569546223313,0.001631555475584721,0.0018546213261513207,0.0020691846834485256
bicarbonate_mean,0.0007583194442400401,0.0020687002090873682,0.0013978383600043978,0.0019376075194682334,0.001236437150918433
care_unit_CICU,0.0006329747486090018,0.004569616091496528,0.0006538244357621089,0.000816785692346527,0.0009863591953684961
map_min,0.0006251165474461582,0.0005681821516805537,0.0014475348927352972,0.0009811158844294067,0.001359953616710093
symptom_abdominal_distension,0.0006218235440613481,0.0012083465129051093,0.0016907612517815093,0.0006820923274247504,0.001082066897954866
symptom_fever,0.0005800013522403011,0.0039627033623146415,0.0006642368929330664,0.001492201784020346,0.000597388073999
creatinine_max,0.0005257903651645524,0.0009384793192661436,0.0012176260437186612,0.00133452595490369,0.0007948782616605795
creatinine_mean,0.00042334192388170084,0.0007337087313680784,0.0010355964079754938,0.0009988606468772179,0.0006320511069085219
symptom_cough,0.0004078629363998533,0.001894266807300028,0.0004519814169190489,0.0008799130331087954,0.000761303705120423
symptom_listless,0.00036689602299779634,0.0005241623206668465,0.00037211207038884223,0.001046107516142351,0.0009446855916893722
symptom_edema,0.00030671446651070716,0.00035711953619374975,0.0006218462459573855,0.0005877959391705539,0.0006737816017341353
rr_abnormal_for_age,0.00019799514594515496,0.0010166521149068328,0.00019530453348231923,0.0007838038343317851,0.00021029219438309683
symptom_skin_jaundice,0.00018113854382853577,0.00027940253194901743,0.00026336280217515194,0.0001915527675927688,0.0005316767905639486
symptom_three_depressions_sign,0.00013896763810490004,0.00020438664118410088,0.000646401802606685,4.1558761369322803e-05,8.217419761638013e-05
symptom_arrhythmia,0.00011874600852892307,0.0002665361027075051,0.00034846203402577185,0.00012864781066295667,0.00017553234090266452
symptom_phlegm_sound,0.00010953768425313323,0.0007117971840476685,0.0001667360963262656,0.00014738124822892692,0.00014579529786715287
symptom_pharyngeal_red,0.00010707856751140084,0.0004307123201208468,0.00014958490612605144,0.00017895181319447422,0.00021515812378633038
symptom_hemorrhage,7.54946816601643e-05,0.00013182933406397977,0.00014565915536703268,9.781365908174146e-05,0.0001793638856308801
had_cardiac_surgery_flag,4.399719744253841e-05,8.745690933278638e-05,5.4674473739169094e-05,9.474551203073548e-05,0.00011081909596599623
symptom_warm_extremities,2.4370377583040554e-05,0.0004281739950353653,0.0,0.0,0.0
symptom_twitching,2.376008536195059e-05,0.0,0.00014278626120127076,0.0,0.0
symptom_anhelation,1.933422987126709e-05,4.1821559221375524e-05,7.282448434078032e-05,9.76564805095082e-06,2.0267676854504225e-05
symptom_dry_and_moist_rales,1.6840229053781254e-05,4.967577733987126e-05,2.5015835134430123e-05,3.0798873713278077e-05,3.664798578164032e-05
symptom_rale,1.2956299965187203e-05,0.0001314481144727324,2.9139436282813825e-07,0.0,2.740166347524853e-05
symptom_diarrhea,1.1658687581628724e-05,5.5701475736270826e-05,1.526632214421397e-05,1.1912343262827976e-05,2.4972088498605255e-05
symptom_rebound_tenderness,1.1471185914075515e-05,0.0,0.0,0.0,5.7928344037147815e-05
symptom_moist_rale,1.0815915754217442e-05,2.491437781827699e-06,1.4746973278496016e-05,5.861463172144654e-05,1.659103295543314e-05
symptom_swelling,9.87226511212456e-06,0.0,0.0,0.00011726211612054054,0.0
symptom_erythra,7.756814557463699e-06,1.5768871935506472e-05,1.8215782415685075e-05,2.2402852567840738e-05,9.807128298835792e-06
symptom_cool_extremities,6.3629032095916565e-06,1.468005129606809e-05,1.816878714827416e-05,7.619554462507948e-06,9.405575336717511e-06
symptom_chest_tightness,3.1134913746203383e-06,2.3254701027326523e-06,4.669802279750002e-06,1.2469171960324624e-05,5.829032127089936e-06
symptom_tenderness,1.6871710984456248e-06,0.0,0.0,0.0,8.52004566680126e-06
symptom_dysphoria,0.0,0.0,0.0,0.0,0.0
symptom_headache,0.0,0.0,0.0,0.0,0.0
symptom_abdominal_tenderness,0.0,0.0,0.0,0.0,0.0
